date,open,close,high,low
19.08.2013,141.64,141.58,141.65,141.58
16.08.2013,141.66,141.67,141.69,141.66
15.08.2013,141.68,141.58,141.68,141.58
14.08.2013,141.65,141.69,141.75,141.64
13.08.2013,141.67,141.64,141.69,141.64
12.08.2013,141.62,141.68,141.68,141.62
09.08.2013,141.58,141.63,141.63,141.58
08.08.2013,141.54,141.58,141.58,141.51
07.08.2013,141.50,141.51,141.51,141.50
06.08.2013,141.38,141.50,141.52,141.38
05.08.2013,141.50,141.36,141.50,141.36
02.08.2013,141.40,141.44,141.48,141.33
01.08.2013,141.33,141.35,141.35,141.31
31.07.2013,141.27,141.27,141.29,141.26
30.07.2013,141.19,141.24,141.24,141.19
29.07.2013,141.28,141.18,141.28,141.18
26.07.2013,141.29,141.28,141.29,141.22
25.07.2013,141.35,141.25,141.35,141.25
24.07.2013,141.32,141.31,141.33,141.28
23.07.2013,141.32,141.27,141.45,141.27
22.07.2013,141.23,141.31,141.37,141.23
19.07.2013,141.14,141.21,141.26,141.14
18.07.2013,140.96,141.18,141.21,140.96
17.07.2013,140.99,141.02,141.08,140.97
16.07.2013,140.95,141.02,141.03,140.95
15.07.2013,140.89,140.94,140.97,140.89
12.07.2013,141.04,140.89,141.08,140.89
11.07.2013,141.09,140.95,141.16,140.92
10.07.2013,141.22,141.09,141.22,141.09
09.07.2013,141.28,141.30,141.38,141.28
08.07.2013,141.28,141.27,141.35,141.27
05.07.2013,141.21,141.21,141.28,141.21
04.07.2013,140.73,141.07,141.10,140.61
03.07.2013,140.81,140.66,140.81,140.58
02.07.2013,140.78,140.85,140.85,140.78
01.07.2013,140.58,140.66,140.70,140.58
28.06.2013,140.44,140.46,140.60,140.42
27.06.2013,140.39,140.43,140.54,140.38
26.06.2013,139.90,140.20,140.20,139.90
25.06.2013,139.82,139.76,139.99,139.76
24.06.2013,140.17,139.96,140.17,139.83
21.06.2013,140.35,140.24,140.50,140.24
20.06.2013,140.63,140.49,140.63,140.40
19.06.2013,140.68,140.79,140.84,140.68
18.06.2013,140.73,140.69,140.73,140.67
17.06.2013,140.76,140.71,140.80,140.71
14.06.2013,140.59,140.75,140.78,140.59
13.06.2013,140.63,140.58,140.72,140.58
12.06.2013,140.69,140.72,140.85,140.69
11.06.2013,140.73,140.71,140.73,140.59
10.06.2013,140.91,140.83,141.00,140.83
07.06.2013,140.83,140.83,140.92,140.80
06.06.2013,141.23,140.83,141.24,140.83
05.06.2013,141.29,141.19,141.29,141.19
04.06.2013,141.27,141.26,141.32,141.26
03.06.2013,141.14,141.14,141.17,141.10
31.05.2013,141.24,141.24,141.24,141.24
30.05.2013,141.05,141.08,141.08,141.05
29.05.2013,141.29,141.14,141.29,141.13
28.05.2013,141.36,141.35,141.43,141.35
27.05.2013,141.24,141.31,141.31,141.23
24.05.2013,141.32,141.16,141.33,141.12
23.05.2013,141.49,141.32,141.49,141.31
22.05.2013,141.52,141.55,141.59,141.52
21.05.2013,141.61,141.52,141.63,141.52
20.05.2013,141.69,141.64,141.71,141.64
17.05.2013,141.52,141.63,141.64,141.52
16.05.2013,141.30,141.44,141.46,141.30
15.05.2013,141.30,141.30,141.36,141.26
14.05.2013,141.39,141.31,141.42,141.31
13.05.2013,141.53,141.43,141.53,141.43
10.05.2013,141.65,141.58,141.65,141.57
09.05.2013,141.73,141.59,141.73,141.59
08.05.2013,141.67,141.66,141.72,141.64
07.05.2013,141.62,141.68,141.74,141.61
06.05.2013,141.72,141.55,141.72,141.55
03.05.2013,141.83,141.65,141.83,141.63
02.05.2013,141.55,141.64,141.68,141.55
30.04.2013,141.34,141.57,141.57,141.34
29.04.2013,141.03,141.35,141.35,141.03
26.04.2013,140.97,141.07,141.08,140.92
25.04.2013,141.04,140.96,141.04,140.95
24.04.2013,141.28,141.05,141.28,141.05
23.04.2013,141.01,141.29,141.29,141.01
22.04.2013,140.80,141.02,141.06,140.80
19.04.2013,140.74,140.79,140.88,140.74
18.04.2013,140.78,140.73,140.87,140.73
17.04.2013,140.54,140.69,140.74,140.54
16.04.2013,140.50,140.60,140.60,140.50
15.04.2013,140.50,140.51,140.59,140.50
12.04.2013,140.48,140.56,140.56,140.45
11.04.2013,140.57,140.49,140.59,140.49
10.04.2013,140.38,140.56,140.56,140.38
09.04.2013,140.56,140.39,140.56,140.39
08.04.2013,140.44,140.55,140.65,140.44
05.04.2013,140.39,140.44,140.49,140.37
04.04.2013,140.06,140.29,140.35,140.06
03.04.2013,140.14,140.06,140.14,140.06
02.04.2013,139.62,139.90,139.90,139.62
28.03.2013,139.53,139.70,139.70,139.47
27.03.2013,139.81,139.63,139.86,139.63
26.03.2013,139.83,139.81,139.94,139.81
25.03.2013,140.05,139.80,140.05,139.80
22.03.2013,139.86,139.90,139.96,139.86
21.03.2013,139.74,139.85,139.90,139.74
20.03.2013,139.63,139.78,139.78,139.63
19.03.2013,139.79,139.63,139.79,139.63
18.03.2013,139.64,139.76,139.87,139.64
15.03.2013,139.81,139.84,139.88,139.81
14.03.2013,139.79,139.72,139.79,139.72
13.03.2013,139.81,139.70,139.81,139.70
12.03.2013,139.75,139.81,139.87,139.75
11.03.2013,139.84,139.78,139.84,139.78
08.03.2013,139.82,139.83,139.98,139.82
07.03.2013,139.74,139.84,139.89,139.74
06.03.2013,139.77,139.74,139.82,139.74
05.03.2013,139.50,139.53,139.54,139.48
04.03.2013,139.38,139.38,139.44,139.38
01.03.2013,139.39,139.45,139.55,139.39
28.02.2013,139.23,139.39,139.44,139.23
27.02.2013,138.87,139.12,139.12,138.86
26.02.2013,139.27,138.87,139.27,138.87
25.02.2013,139.79,139.81,139.91,139.74
22.02.2013,139.59,139.69,139.79,139.59
21.02.2013,139.71,139.59,139.71,139.59
20.02.2013,139.88,139.70,139.88,139.70
19.02.2013,141.39,141.36,141.43,141.36
18.02.2013,141.37,141.35,141.37,141.29
15.02.2013,141.35,141.36,141.43,141.35
14.02.2013,141.31,141.35,141.42,141.31
13.02.2013,141.10,141.31,141.34,141.10
12.02.2013,140.95,141.16,141.16,140.95
11.02.2013,141.01,140.92,141.10,140.92
08.02.2013,140.99,141.00,141.16,140.99
07.02.2013,140.90,141.03,141.06,140.89
06.02.2013,141.04,140.90,141.15,140.90
05.02.2013,140.88,141.10,141.10,140.84
04.02.2013,141.15,140.86,141.15,140.86
01.02.2013,141.31,141.22,141.37,141.22
31.01.2013,141.07,141.24,141.24,141.07
30.01.2013,141.40,141.11,141.43,141.11
29.01.2013,141.28,141.42,141.42,141.28
28.01.2013,141.48,141.38,141.50,141.36
25.01.2013,141.63,141.55,141.69,141.55
24.01.2013,141.56,141.58,141.58,141.55
23.01.2013,141.53,141.55,141.55,141.48
22.01.2013,141.51,141.49,141.60,141.44
21.01.2013,141.61,141.48,141.61,141.48
18.01.2013,141.60,141.64,141.66,141.55
17.01.2013,141.79,141.59,141.80,141.59
16.01.2013,141.65,141.74,141.75,141.64
15.01.2013,141.60,141.69,141.70,141.55
14.01.2013,141.72,141.60,141.72,141.60
11.01.2013,141.73,141.78,141.78,141.73
10.01.2013,141.36,141.78,141.88,141.36
09.01.2013,141.13,141.36,141.37,141.13
08.01.2013,141.00,141.13,141.13,141.00
07.01.2013,141.12,141.02,141.12,141.02
04.01.2013,141.06,141.10,141.21,141.06
03.01.2013,141.02,141.12,141.17,141.02
02.01.2013,140.52,140.74,140.74,140.52
