date,open,close,high,low
14.05.2012,172.71,172.70,172.71,172.70
11.05.2012,172.45,172.41,172.48,172.32
10.05.2012,172.10,172.21,172.27,172.10
09.05.2012,172.14,172.21,172.24,172.14
08.05.2012,171.98,172.22,172.22,171.96
07.05.2012,171.92,171.75,172.13,171.75
04.05.2012,171.30,171.55,171.55,171.30
03.05.2012,171.01,171.20,171.20,170.93
02.05.2012,170.42,170.98,171.13,170.42
30.04.2012,170.19,170.69,170.71,170.19
27.04.2012,170.41,170.27,170.41,170.27
26.04.2012,169.95,170.19,170.19,169.93
25.04.2012,169.84,169.81,169.99,169.81
24.04.2012,172.02,171.88,172.02,171.88
23.04.2012,171.74,171.94,172.13,171.71
20.04.2012,171.60,171.47,171.60,171.47
19.04.2012,171.67,171.70,171.71,171.57
18.04.2012,171.57,171.74,171.80,171.54
17.04.2012,171.52,171.43,171.52,171.29
16.04.2012,171.87,171.53,171.87,171.53
13.04.2012,171.56,171.80,172.03,171.56
12.04.2012,171.62,171.54,171.62,171.54
11.04.2012,171.55,171.54,171.55,171.43
10.04.2012,171.33,171.42,171.44,171.33
05.04.2012,170.47,171.14,171.14,170.47
04.04.2012,170.66,170.81,170.83,170.52
03.04.2012,170.80,170.80,170.92,170.76
02.04.2012,170.76,170.87,170.87,170.53
30.03.2012,170.48,170.88,170.88,170.48
29.03.2012,170.24,170.56,170.56,170.24
28.03.2012,169.90,170.04,170.04,169.90
27.03.2012,169.49,169.80,169.80,169.49
26.03.2012,170.18,169.67,170.18,169.67
23.03.2012,169.26,169.97,169.97,169.26
22.03.2012,168.81,169.52,169.52,168.81
21.03.2012,168.30,168.85,168.85,168.30
20.03.2012,168.51,168.28,168.51,168.28
19.03.2012,168.57,168.33,168.57,168.33
16.03.2012,169.03,168.22,169.03,168.14
15.03.2012,169.20,169.18,169.39,169.18
14.03.2012,169.98,170.01,170.01,169.98
13.03.2012,171.16,171.14,171.23,171.14
12.03.2012,171.21,171.41,171.41,171.10
09.03.2012,171.05,171.02,171.08,171.02
08.03.2012,170.92,171.07,171.07,170.81
07.03.2012,170.62,170.98,170.98,170.62
06.03.2012,170.79,170.82,170.82,170.79
05.03.2012,171.03,170.87,171.13,170.81
02.03.2012,170.75,170.90,170.90,170.71
01.03.2012,170.66,170.40,170.66,170.40
29.02.2012,170.31,170.40,170.40,170.31
28.02.2012,170.09,170.36,170.46,170.03
27.02.2012,169.52,170.07,170.07,169.52
24.02.2012,169.45,169.45,169.55,169.43
23.02.2012,169.01,169.51,169.51,169.01
22.02.2012,168.64,169.01,169.06,168.64
21.02.2012,168.48,168.48,168.48,168.48
20.02.2012,168.67,168.59,168.70,168.59
17.02.2012,	168.67,,
16.02.2012,169.26,169.35,169.43,169.26
15.02.2012,168.91,169.18,169.25,168.62
14.02.2012,168.78,168.92,168.97,168.78
13.02.2012,168.64,168.80,168.91,168.44
10.02.2012,168.44,168.89,168.89,168.41
09.02.2012,168.44,168.08,168.59,168.08
08.02.2012,168.54,168.72,168.74,168.54
07.02.2012,169.35,169.60,169.62,169.35
06.02.2012,168.97,169.29,169.69,168.97
03.02.2012,170.09,168.97,170.12,168.97
02.02.2012,169.56,169.72,169.93,169.56
01.02.2012,169.68,169.51,169.78,169.51
31.01.2012,169.60,169.68,169.68,169.37
30.01.2012,169.47,169.72,169.78,169.43
27.01.2012,168.91,169.06,169.13,168.91
26.01.2012,168.24,168.27,168.27,168.02
25.01.2012,167.26,167.76,167.76,167.21
24.01.2012,167.50,167.22,167.62,167.22
23.01.2012,168.24,167.37,168.24,167.37
20.01.2012,168.64,168.05,168.64,168.05
19.01.2012,169.25,168.44,169.25,168.44
18.01.2012,169.12,169.24,169.35,169.09
17.01.2012,169.56,169.16,169.56,169.12
16.01.2012,169.37,169.41,169.63,169.28
13.01.2012,169.27,169.28,169.60,169.27
12.01.2012,168.49,168.79,169.09,168.49
11.01.2012,167.81,168.46,168.54,167.72
10.01.2012,167.74,167.59,167.75,167.54
09.01.2012,167.36,167.82,167.87,167.25
06.01.2012,167.31,167.49,167.54,167.13
05.01.2012,163.09,167.55,167.55,163.09
04.01.2012,167.09,163.09,167.31,163.09
03.01.2012,167.34,167.41,167.52,167.14
02.01.2012,167.84,167.34,167.84,167.34
30.12.2011,168.28,168.16,168.28,168.13
29.12.2011,167.81,168.28,168.28,167.81
28.12.2011,167.77,167.85,167.85,167.77
27.12.2011,167.33,167.33,167.33,167.33
23.12.2011,167.20,167.59,167.59,167.20
22.12.2011,167.15,167.17,167.28,166.74
21.12.2011,166.95,167.21,167.38,166.65
20.12.2011,167.65,167.06,167.65,167.06
19.12.2011,167.61,167.66,167.66,167.38
16.12.2011,167.08,167.91,167.91,167.08
15.12.2011,166.85,167.10,167.31,166.64
14.12.2011,166.66,166.91,166.91,166.41
13.12.2011,161.74,165.55,165.55,161.74
12.12.2011,165.07,165.07,165.75,165.04
09.12.2011,161.60,165.07,165.51,161.60
08.12.2011,161.21,165.52,165.52,161.21
07.12.2011,164.45,161.23,165.31,161.23
06.12.2011,164.17,160.52,164.45,160.52
05.12.2011,164.82,165.08,165.08,160.71
02.12.2011,164.69,160.87,164.85,160.87
01.12.2011,163.75,163.58,163.75,163.58
30.11.2011,162.37,162.37,163.22,162.32
29.11.2011,161.89,161.89,161.89,161.89
28.11.2011,162.00,161.89,162.16,161.67
25.11.2011,162.93,162.03,162.93,162.00
24.11.2011,162.85,162.64,162.93,162.57
23.11.2011,165.31,163.49,165.31,163.45
22.11.2011,165.13,165.42,165.42,165.03
21.11.2011,165.49,165.50,165.82,165.36
18.11.2011,165.21,164.83,165.42,164.55
17.11.2011,165.91,165.05,165.91,165.05
16.11.2011,165.66,165.58,166.25,165.58
15.11.2011,166.45,166.16,166.79,166.04
14.11.2011,166.59,166.38,166.73,166.38
11.11.2011,166.66,165.86,166.69,165.86
10.11.2011,167.84,167.84,167.84,166.95
09.11.2011,167.77,168.06,168.06,167.71
08.11.2011,167.56,167.51,167.56,166.95
07.11.2011,167.96,167.94,167.96,167.93
04.11.2011,166.13,167.39,167.39,166.13
03.11.2011,166.54,166.45,166.74,166.44
02.11.2011,167.41,167.01,167.53,166.94
01.11.2011,167.23,168.31,168.34,167.10
31.10.2011,164.36,165.14,165.14,164.19
28.10.2011,163.54,163.77,163.85,162.98
27.10.2011,164.43,163.72,164.73,163.72
26.10.2011,164.74,165.42,165.50,164.68
25.10.2011,165.99,166.87,167.02,165.70
24.10.2011,166.80,166.53,166.80,166.53
21.10.2011,166.80,166.40,166.86,166.40
20.10.2011,166.90,166.90,166.90,166.48
19.10.2011,166.97,166.57,166.99,166.44
18.10.2011,167.73,167.29,167.73,167.20
17.10.2011,165.25,166.91,167.02,165.23
14.10.2011,167.05,165.65,167.09,165.65
13.10.2011,166.22,167.09,167.09,166.22
12.10.2011,167.56,166.55,167.58,166.50
11.10.2011,167.84,167.46,167.84,167.46
10.10.2011,168.12,167.64,168.12,167.64
07.10.2011,169.14,168.69,169.34,168.69
06.10.2011,170.03,170.16,170.25,169.66
